Company Name,Tradestyle,Address Line 1,City,Province,Postal Code,Country,Phone,URL,Revenue (USD),Employees (Single Site),Employees (Blended Sites),Business Description,Ownership Type,Entity Type,Parent Company,Parent Country,Ultimate Parent Company,Ultimate Parent Country,D&B Hoovers Industry,NAICS 2012 Code,NAICS 2012 Description,Import/Export Status,Manufacturing Status
1112019 Ontario Ltd,Kingston Windows & Doors,1259 Gardiners Rd Suite 1,Kingston,Ontario,K7P 3J6,Canada,613-384-0000,http://www.kingstonwindowsanddoors.com,"810,281.52",4,4,"1112019 Ontario Ltd is primarily engaged in selling primarily lumber, or lumber and a general line of building materials, to the general public. While these establishments may sell primarily to construction contractors, they are known as retail in the trade. The lumber which they sell may include rough and dressed lumber, flooring, molding, doors, sashes, frames, and other millwork. The building materials may include roofing, siding, shingles, wallboard, paint, brick, tile, cement, sand, gravel, and other building materials and supplies. Hardware is often an important line sold by retail lumber and building materials dealers.",Private,Independent,,,,,Home and Garden Retail,444110,Home Centers,,
1112046 Ontario Inc,Frontenac Cycle Sport,336 Barrie St,Kingston,Ontario,K7K 3T1,Canada,613-542-4455,http://www.frontenaccycle.ca,"240,083.41",2,2,"1112046 Ontario Inc is primarily engaged in the retail sale of sporting goods, sporting equipment, and bicycles, bicycle parts, and accessories.",Private,Independent,,,,,Sporting Goods and Recreation Stores,451110,Sporting Goods Stores,,
1112060 Ontario Inc,Kingston RV Centre,538 O'Connor Dr,Kingston,Ontario,K7P 1N3,Canada,613-389-9953,http://www.kingstonrv.com,"1,400,486.60",5,5,"1112060 Ontario Inc is primarily engaged in the retail sale of new and used motor homes, recreational trailers, and campers (pickup coaches).",Private,Independent,,,,,Motor Vehicle and Parts Dealers,441210,Recreational Vehicle Dealers,Imports,
1112076 Ontario Limited,"Micro Market Business Centre, Onserve",700 Progress Ave,Kingston,Ontario,K7M 4W9,Canada,877-996-6622,http://www.micromarket.on.ca,"1,500,521.30",14,16,"1112076 Ontario Limited is primarily engaged in the design, development, and production of prepackaged computer software. Important products of this industry include operating, utility, and applications programs. Establishments of this industry may also provide services such as preparation of software documentation for the user-installation of software for the user; and training the user in the use of the software.",Private,Parent,,,,,Software,511210,Software Publishers,Imports,
1112149 Ontario Ltd,Fairfield Manor East,670 Mclean Crt Suite 5,Kingston,Ontario,K7K 7L8,Canada,613-531-9158,,"2,800,973.20",25,25,1112149 Ontario Ltd is primarily engaged in the operation of apartment buildings. Apartment buildings are defined as containing five or more housing units.,Private,Independent,,,,,Residential Real Estate Leasing,531110,Lessors of Residential Buildings and Dwellings,,
1112185 Ontario Inc,Concord Engineering,755 Baker Cres,Kingston,Ontario,K7M 6P5,Canada,613-634-4357,http://www.concordengineering.ca,"440,152.91",4,4,1112185 Ontario Inc is primarily engaged in providing professional engineering services. Establishments primarily providing and supervising their own engineering staff on temporary contract to other firms are included in this industry.,Private,Independent,,,,,Architecture and Engineering,541330,Engineering Services,,
1126436 Ontario Inc,Partners Auto Shop,367 Rideau St,Kingston,Ontario,K7K 3B2,Canada,613-542-2882,http://www.cdnauto.org,"500,173.81",5,5,1126436 Ontario Inc is primarily engaged in general automotive repair.,Private,Independent,,,,,Motor Vehicle Repair and Maintenance,811111,General Automotive Repair,,
1126521 Ontario Limited,"Dufault, Christine Cosmetics",945 Gardiners Rd Suite 130,Kingston,Ontario,K7M 7H4,Canada,613-389-9608,http://www.cataraquicentre.ca,"510,177.25",4,4,"1126521 Ontario Limited is primarily engaged in the retail sale of specialized lines of merchandise, not elsewhere classified, such as artists' supplies; orthopedic and artificial limbs; rubber stamps; pets; religious goods; and monuments and tombstones.",Private,Independent,,,,,Miscellaneous Store Retailers,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Imports,
1126565 Ontario Inc,A Party Centre,699 Gardiners Rd Suite 1,Kingston,Ontario,K7M 3Y4,Canada,613-384-9898,http://www.party-centre-rentals.com,"540,187.72",5,5,"1126565 Ontario Inc is primarily engaged in renting or leasing (except finance leasing) equipment, not elsewhere classified.",Private,Independent,,,,,Commercial and Industrial Rental,532299,All Other Consumer Goods Rental,,
1132145 Ontario Limited,Gord & Kim's No Frills,1030 Coverdale Dr,Kingston,Ontario,K7M 9E1,Canada,613-389-0090,,"21,407,436",100,100,"1132145 Ontario Limited is a supermarket/grocery store, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry.",Private,Independent,,,,,Grocery Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,,
1135304 Ontario Inc,Stephen Manley Tire Sales,18 St Remy Pl Suite 1,Kingston,Ontario,K7K 6C4,Canada,,,"2,800,973.20",20,20,1135304 Ontario Inc is primarily engaged in repairing and retreading automotive tires. Establishments classified here may either retread customers' tires or retread tires for sale or exchange to the user or the trade.,Private,Independent,,,,,Rubber and Plastic Product Manufacturing,811198,All Other Automotive Repair and Maintenance,Imports,
1138363 Ontario Inc,Regional Carpet Cleaning,698 Mckay St,Kingston,Ontario,K7M 7G2,Canada,613-634-1726,http://www.regionalcarpetcleaning.ca,"210,072.98",6,6,1138363 Ontario Inc is primarily engaged in cleaning carpets and upholstered furniture at a plant or on customers' premises.,Private,Independent,,,,,Building and Dwelling Services,561740,Carpet and Upholstery Cleaning Services,,
1157777 Ontario Inc,"Emmons Metal Mart, Emmons Welding",600 Justus Dr,Kingston,Ontario,K7M 4H4,Canada,613-384-1087,,"420,145.96",5,5,"1157777 Ontario Inc is primarily engaged in general repair work by welding, including automotive welding.",Private,Independent,,,,,Industrial Machinery Repair and Maintenance,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,,
1159245 Ontario Inc,Makscom,435 Barrie St,Kingston,Ontario,K7K 3T8,Canada,613-549-6694,,"400,139.03",4,4,"1159245 Ontario Inc is primarily engaged in furnishing communications services, not elsewhere classified.",Private,Independent,,,,,Wireless Telecommunications Carriers,517919,All Other Telecommunications,,
1159329 Ontario Limited,"Fireplace & Leisure Shop, The, Kingston Home Heating",1281 Midland Ave,Kingston,Ontario,K7P 2Y1,Canada,613-389-5544,http://www.kingstonhomeheating.com,"1,643,971.10",10,10,"1159329 Ontario Limited is a special trade contractor primarily engaged in  plumbing, heating, air-conditioning, and similar work. Sheet metal work performed by plumbing, heating, and air-conditioning contractors in conjunction with the installation of plumbing, heating, and air-conditioning equipment is included.",Private,Independent,,,,,Specialty Construction Trade Contractors,238220,"Plumbing, Heating, and Air-Conditioning Contractors",,
1178273 Ontario Ltd,Knitt Traders,725 Gardiners Rd,Kingston,Ontario,K7M 3Y5,Canada,613-384-3951,http://www.knittraders.com,"250,086.90",5,5,"1178273 Ontario Ltd is primarily engaged in the retail sale of sewing supplies, fabrics, patterns, yarn and other needlework accessories.",Private,Independent,,,,,Sporting Goods and Recreation Stores,451130,"Sewing, Needlework, and Piece Goods Stores",,
1178368 Ontario Inc,McGinnis Landing,1530 Bath Rd,Kingston,Ontario,K7M 4X6,Canada,,,"1,700,590.80",45,45,1178368 Ontario Inc is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.,Private,Independent,,,,,Restaurants and Bars,722511,Full-Service Restaurants,,
1178543 Ontario Ltd,Sunbury Auto Body,3719 Battersea Rd,Inverary,Ontario,K0H 1X0,Canada,,,"290,100.78",3,3,"1178543 Ontario Ltd is primarily engaged in the repair of automotive tops, bodies, and interiors, or automotive painting and refinishing. Also This also includes customizing automobiles, trucks, and vans except on a factory basis.",Private,Independent,,,,,Motor Vehicle Repair and Maintenance,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",,
1178561 Ontario Inc,"Sullivan, Mike Construction",95 Drennan St,Kingston,Ontario,K7K 2S4,Canada,613-549-7235,,"1,300,451.80",5,5,"1178561 Ontario Inc is a general contractor primarily engaged in the construction (including new work, additions, alterations, remodeling, and repair) of industrial buildings and warehouses, such as aluminum plants, automobile assembly plants, pharmaceutical manufacturing plants, and commercial warehouses.",Private,Independent,,,,,Residential and Commercial Building Construction,236210,Industrial Building Construction,,
1178590 Ontario Inc,Samuel G Smith Photography,1198 Johnson St,Kingston,Ontario,K7M 2N8,Canada,613-531-5400,http://www.sgsmithphoto.com,"55,019.114",1,1,1178590 Ontario Inc is primarily engaged in still or video portrait photography for the general public.,Private,Independent,,,,,Photographic Services,541921,"Photography Studios, Portrait",,
118501 Ontario Limited,,141 Lappans Lane,Kingston,Ontario,K7K 6Y8,Canada,,,"190,066.04",2,2,118501 Ontario Limited is primarily engaged in holding or owning the securities of banks for the sole purpose of exercising some degree of control over the activities of bank companies whose securities they hold.,Private,Independent,,,,,Holding Companies,551111,Offices of Bank Holding Companies,,
1189483 Ontario Inc,"Shaver, J & Associates Div Of",2263 Princess St,Kingston,Ontario,K7M 3G1,Canada,613-541-1190,,"1,300,451.80",10,10,"1189483 Ontario Inc is primarily engaged in renting, buying, selling, managing, and appraising real estate for others.",Private,Independent,,,,,Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,,
1195149 Ontario Limited,Petro Canada,1586 Centennial Dr,Kingston,Ontario,K7P 0C7,Canada,613-389-8010,,"14,004,866",70,70,"1195149 Ontario Limited is a supermarket/grocery store, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry.",Private,Independent,,,,,Grocery Stores,445120,Convenience Stores,,
1200270 Ontario Ltd,"Allard, Camille Interior Decor",700 Hillview Rd,Kingston,Ontario,K7M 5C9,Canada,,,"100,034.76",1,1,"1200270 Ontario Ltd is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis.",Private,Independent,,,,,Miscellaneous Professional Services,541410,Interior Design Services,,
1203095 Ontario Inc,Citypro Communications,1407 John Counter Blvd Unit 170,Kingston,Ontario,K7K 6A9,Canada,613-384-9823,http://www.citypro.net,"230,079.95",2,2,"1203095 Ontario Inc is primarily engaged in furnishing communications services, not elsewhere classified.",Private,Independent,,,,,Wireless Telecommunications Carriers,517919,All Other Telecommunications,,
1203125 Ontario Ltd,Stoney Waterfront Cafe,189 Ontario St,Kingston,Ontario,K7L 2Y7,Canada,,,"760,264.16",20,20,1203125 Ontario Ltd is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.,Private,Independent,,,,,Restaurants and Bars,722511,Full-Service Restaurants,,
1203169 Ontario Limited,Carpets Plus,721 Progress Ave Suite 4,Kingston,Ontario,K7M 6S4,Canada,613-634-9752,http://www.carpetsplus.ca,"430,149.47",3,3,1203169 Ontario Limited is primarily engaged in the retail sale of floor coverings. Establishments included in this industry may incidentally perform installation.,Private,Independent,,,,,Home Furnishings Retail,442210,Floor Covering Stores,Imports,
1206953 Ontario Inc,Confederation Place Hotel,237 Ontario St,Kingston,Ontario,K7L 2Z4,Canada,613-549-6300,http://www.confederationplace.com,"3,601,251.10",60,60,"Commercial establishments, known to the public as hotels, motor hotels, motels, or tourist courts, primarily engaged in providing lodging, or lodging and meals, for the general public. Hotels which are operated by membership organizations and open to the general public are included in this industry.",Private,Independent,,,,,Hotels and Accommodation,721110,Hotels (except Casino Hotels) and Motels,,
12101361302 Ontario Ltd,JC Enterprises,1045 John Counter Blvd Unit 4,Kingston,Ontario,K7K 6C7,Canada,613-548-3088,,"120,041.71",3,3,"12101361302 Ontario Ltd is primarily engaged in furnishing passenger transportation by automobiles not operated on regular schedules or between fixed terminals. Taxicab fleet owners and organizations are included, regardless of whether drivers are hired or rent their cabs or are otherwise compensated.",Private,Independent,,,,,Mass Transit and Ground Passenger Transportation,485310,Taxi Service,,
1211084 Ontario Ltd,Petro Canada,45 Dalton Ave,Kingston,Ontario,K7K 6C2,Canada,613-549-4169,,,5,5,"1211084 Ontario Ltd is a gasoline service station primarily engaged in selling gasoline and lubricating oils. They also sell other merchandise, such as tires, batteries, and other automobile parts, or perform minor repair work.",Private,Branch,1211084 Ontario Ltd,Canada,1211084 Ontario Ltd,Canada,Gasoline Stations and Fuel Dealers,447190,Other Gasoline Stations,,
1211084 Ontario Ltd,Petro Canada,1188 Division St,Kingston,Ontario,K7K 7H4,Canada,613-546-3598,,,5,5,"1211084 Ontario Ltd is a gasoline service station primarily engaged in selling gasoline and lubricating oils. They also sell other merchandise, such as tires, batteries, and other automobile parts, or perform minor repair work.",Private,Branch,1211084 Ontario Ltd,Canada,1211084 Ontario Ltd,Canada,Gasoline Stations and Fuel Dealers,447190,Other Gasoline Stations,,
1211084 Ontario Ltd,Petro Canada,459 Taylor-Kidd Blvd,Kingston,Ontario,K7M 0A2,Canada,613-542-5005,,,7,7,"1211084 Ontario Ltd is primarily engaged in washing, waging, and polishing motor vehicles, or in furnishing facilities for the self-service washing of motor vehicles.",Private,Branch,1211084 Ontario Ltd,Canada,1211084 Ontario Ltd,Canada,Motor Vehicle Repair and Maintenance,811192,Car Washes,,
1211084 Ontario Ltd,Petro Canada,765 Gardiners Rd,Kingston,Ontario,K7M 3Y5,Canada,613-384-2010,,,20,20,"1211084 Ontario Ltd is a gasoline service station primarily engaged in selling gasoline and lubricating oils. They also sell other merchandise, such as tires, batteries, and other automobile parts, or perform minor repair work.",Private,Branch,1211084 Ontario Ltd,Canada,1211084 Ontario Ltd,Canada,Gasoline Stations and Fuel Dealers,447190,Other Gasoline Stations,,
1212326 Ontario Inc,"Microage Computer Centre, Microage Kingston",708 Arlington Park Pl,Kingston,Ontario,K7M 7N7,Canada,613-384-4141,http://www.microagekingston.ca,"1,100,382.30",8,8,"1212326 Ontario Inc is primarily engaged in the retail sale of computers, computer peripheral equipment, and software.",Private,Independent,,,,,Electronics and Appliances Stores,443142,Electronics Stores,,
1213504 Ontario Inc,Canadian Tire,970 Princess St,Kingston,Ontario,K7L 1H2,Canada,613-546-3446,http://www.gasplus.canadiantire.ca,"1,900,660.30",10,10,"1213504 Ontario Inc is a gasoline service station primarily engaged in selling gasoline and lubricating oils. They also sell other merchandise, such as tires, batteries, and other automobile parts, or perform minor repair work.",Private,Independent,,,,,Gasoline Stations and Fuel Dealers,447190,Other Gasoline Stations,,
1213515 Ontario Inc,Freedom Coach,797 Division St,Kingston,Ontario,K7K 4C2,Canada,,http://www.freedomcoach.net,"500,173.81",5,5,1213515 Ontario Inc is primarily engaged in general automotive repair.,Private,Independent,,,,,Motor Vehicle Repair and Maintenance,811111,General Automotive Repair,Imports,
