Company Name,Address Line 1,Postal Code,Phone,URL,Revenue (USD),Business Description
8507597 Canada Inc,1585 Centennial Dr,K7P 0K4,613-384-9515,http://www.slh.ca,90131310.0,"8507597 Canada Inc is primarily engaged in furnishing ""over-the-road"" trucking services or trucking services and storage services, including household goods either as common carriers or under special or individual contracts or agreements, for freight generally weighing more than 100 pounds. Such operations are principally outside a single municipality, outside one group of contiguous municipalities, or outside a single municipality and its suburban areas."
Religious Hospitallers Of Saint Joseph Of The Hotel Dieu Of Kingston,166 Brock St Suite 262D,K7L 5G2,613-544-3310,http://www.hoteldieu.com,77126793.0,Religious Hospitallers Of Saint Joseph Of The Hotel Dieu Of Kingston is primarily engaged in providing general medical and surgical services and other hospital services.
Corporation of the County of Frontenac,2069 Battersea Rd Rr 1,K0H 1S0,613-548-9400,http://www.frontenaccounty.ca,64422386.0,"Corporation of the County of Frontenac is a membership organization, not elsewhere classified."
Alma Mater Society of Queen's University Incorporated,99 University Ave,K7L 3N5,613-533-2725,http://www.amspeersupport.com,54218838.0,"Alma Mater Society of Queen's University Incorporated is a membership organization engaged in civic, social, or fraternal activities."
Cruickshank Construction Limited,751 Dalton Ave Suite 1,K7M 8N6,613-542-2874,http://www.cruickshankgroup.com,53318523.0,"Cruickshank Construction Limited is a general and special trade contractor primarily engaged in the construction of roads, streets, alleys, public sidewalks, guardrails, parkways, and airports."
"Corporation Of Loyalist Township, The",263 Main St,K0H 2H0,613-386-7351,http://www.loyalisttownship.ca,47516510.0,Legislative bodies and their advisory and interdepartmental committees and commissions.
534118 Ontario Corporation,2440 Princess St,K7M 3G4,613-549-1479,,45015640.0,"534118 Ontario Corporation is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
"Taylor, Jerome D Chevrolet Cadillac Limited",2440 Princess St,K7M 3G4,613-549-1311,http://www.taylorautomall.com,45015640.0,"Taylor, Jerome D Chevrolet Cadillac Limited is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Edwards Ford Sales (Kingston) Ltd,1388 Bath Rd,K7M 4X6,613-544-6203,http://www.edwardsfordkingston.com,44515465.0,"Edwards Ford Sales (Kingston) Ltd is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Future Ready Ltd,1456 Centennial Dr,K7P 0K4,613-389-7611,,41714493.0,Future Ready Ltd is primarily engaged in furnishing general or specialized management services on a day to day basis and on a contract or fee basis. Establishments in this industry do not provide operating staff.
Derbyshire E.D. & Sons Limited,2560 Princess St Suite 417,K7P 2S8,613-384-4414,,41714493.0,"Derbyshire E.D. & Sons Limited is primarily engaged in the retail sale of new automobile tires, batteries, and other automobile parts and accessories. Such establishments frequently sell a substantial amount of home appliances, radios, and television sets."
"Assurant, Inc",1287 Gardiners Rd,K7P 3J6,800-550-2827,http://www.assurant.com,37012859.0,"Agents primarily representing one or more insurance carriers, or brokers not representing any particular carriers primarily engaged as independent contractors in the sale or placement of insurance contracts with carriers, but not employees of the insurance carriers they represent. This industry also includes independent organizations concerned with insurance services."
Family and Children Services of Frontenac and Clinics Addington,1479 John Counter Blvd,K7M 7J3,613-545-3227,http://www.facsfla.ca,32211193.0,Family and Children Services of Frontenac and Clinics Addington is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.
Homestead Land Holdings Limited,80 Johnson St,K7L 1X7,613-546-3146,http://www.homestead.ca,32011124.0,Homestead Land Holdings Limited is primarily engaged in the operation of apartment buildings. Apartment buildings are defined as containing five or more housing units.
401 Auto Dealers Exchange,60 Rigney St,K7K 6Z2,613-536-0401,http://www.401ade.com,31911087.0,"401 Auto Dealers Exchange is primarily engaged in the wholesale distribution of new and used passenger automobiles, trucks, trailers, and other motor vehicles, including motorcycles, motor homes, and snowmobiles."
548050 Ontario Inc,1388 Bath Rd,K7M 4X6,613-546-2211,http://www.edwardsford.com,30010427.0,"548050 Ontario Inc is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Providence Care,275 Sydenham St,K7K 1G7,613-549-4164,http://www.providencecare.ca,29110115.0,"Providence Care is primarily engaged in providing inpatient nursing and rehabilitative services to patients who require continuous health care, but not hospital services. Care must be ordered by and under the direction of a physician. The staff must include a licensed nurse on duty continuously with a minimum of one full-time registered nurse on duty during each day shift. Included are establishments certified to deliver skilled nursing care under the Medicare and Medicaid programs."
Kingston Dodge Chrysler (1980) Ltd,1429 Princess St,K7M 3E9,613-549-8900,http://www.kingstondodge.com,26509211.0,"Kingston Dodge Chrysler (1980) Ltd is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Kingston and the Islands Political Party,15 Alamein Dr,K7L 4R5,613-546-6081,,25808966.0,"Kingston and the Islands Political Party is a membership organization established to promote the interests of a national, State, or local political party or candidate. Also included are political groups organized to raise funds for a political party or individual candidates."
Tandet Eastern Limited,191 Dalton Ave,K7K 6C2,613-544-1212,,25008688.0,"Tandet Eastern Limited is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Kingston Dodge Jeep Eagle Ltd,1429 Princess St,K7M 3E9,613-549-8900,,24508514.0,"Kingston Dodge Jeep Eagle Ltd is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Findlay Foods (Kingston) Ltd,675 Progress Ave,K7M 0C7,613-384-5331,http://www.findlayfoods.com,23908306.0,Findlay Foods (Kingston) Ltd is primarily engaged in the wholesale distribution of a general line of groceries.
Anchor Concrete Products Limited,1645 Sydenham Rd,K7L 4V4,613-546-6683,http://www.anchorconcrete.com,23908306.0,"Anchor Concrete Products Limited is primarily engaged in manufacturing concrete products, except block and brick, from a combination of cement and aggregate."
Cardinal Movers Kingston Inc,921 Woodbine Rd,K7P 2X4,289-395-0003,,23408133.0,"Cardinal Movers Kingston Inc is primarily engaged in furnishing trucking or transfer services without storage for freight generally weighing more than 100 pounds, in a single municipality, contiguous municipalities, or a municipality and its suburban areas."
Jack French Limited,200 Binnington Crt,K7M 8R6,613-547-6666,http://www.alliancewireless.com,23007994.0,"Jack French Limited is primarily engaged in selling primarily lumber, or lumber and a general line of building materials, to the general public. While these establishments may sell primarily to construction contractors, they are known as retail in the trade. The lumber which they sell may include rough and dressed lumber, flooring, molding, doors, sashes, frames, and other millwork. The building materials may include roofing, siding, shingles, wallboard, paint, brick, tile, cement, sand, gravel, and other building materials and supplies. Hardware is often an important line sold by retail lumber and building materials dealers."
NCIC Clinical Trials Group,10 Stuart St,K7L 2V5,613-533-6430,,22907959.0,"NCIC Clinical Trials Group is primarily engaged in performing noncommercial research into and dissemination of, information for public health, education, or general welfare. Establishments included here operate primarily on funds from endowments, contributions, and grants."
Ongwanada Hospital,191 Portsmouth Ave,K7M 8A6,613-548-4417,http://www.ongwanada.com,22707890.0,"Ongwanada Hospital is primarily engaged in the provision of residential social and personal care for children, the aged, and special categories of persons with some limits on ability for self-care, but where medical care is not a major element. Included are establishments providing 24-hour year-round care for children."
Cancoil Thermal Corporation,991 John F. Scott Rd,K7L 4V3,613-541-1235,http://www.can-coil.com,22607855.0,"Cancoil Thermal Corporation is primarily engaged in manufacturing refrigeration equipment and systems and similar equipment for commercial and industrial use; complete air-conditioning units for domestic, commercial, and industrial use; and warm air furnaces. This includes manufacturing soda fountains and beer dispensing equipment and humidifiers and dehumidifiers, except portable, are also classified in this industry."
1132145 Ontario Limited,1030 Coverdale Dr,K7M 9E1,613-389-0090,,21407436.0,"1132145 Ontario Limited is a supermarket/grocery store, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry."
1524990 Ontario Inc,1456 Centennial Dr,K7P 0K4,613-634-7552,,21207369.0,1524990 Ontario Inc is primarily engaged in holding or owning the securities of banks for the sole purpose of exercising some degree of control over the activities of bank companies whose securities they hold.
Zycom Technology Inc,271 Concession St,K7K 2B7,613-549-6558,http://www.zycomtec.com,21112371.0,"Zycom Technology Inc is primarily engaged in the wholesale distribution of computers, computer peripheral equipment, and computer software."
"Deodato, Tony & Sons Limited",100 Binnington Crt,K7L 4W5,613-548-3073,http://www.tonydeodatoandsons.com,20807228.0,"Deodato, Tony & Sons Limited is primarily engaged in the wholesale distribution of fresh fruits and vegetables."
Subaru Of Kingston,399 Bath Rd,K7M 7C9,613-546-7000,http://www.subaru.ca,19506777.0,"Subaru Of Kingston is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Knorr Brake Limited,675 Development Dr,K7M 4W6,613-389-4660,,19406742.0,"Knorr Brake Limited is primarily engaged in building and rebuilding locomotives (including frames and parts, not elsewhere classified) of any type or gauge; and railroad, street, and rapid transit cars and car equipment for operation on rails for freight and passenger service."
421342 Ontario Limited,775 Gardiners Rd,K7M 7H8,613-384-2531,http://www.kingstonnissan.com,17506083.0,"421342 Ontario Limited is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Royal Military College of Canada Unit Fund,15 Valour Dr,K7K 7B4,613-541-6000,,17306011.0,"Royal Military College of Canada Unit Fund is primarily engaged in planning, administration, and coordination of programs for public assistance, social work, and welfare activities, such as old age assistance, child welfare, aid to families with dependent children, aid to the blind and disabled, medical assistance, human resource development, and related activities."
Region 9 Regional Tourism Organization,945 Princess St Suite 202,K7L 5L9,613-344-2095,http://www.thegreatwaterway.com,16405699.0,Region 9 Regional Tourism Organization is primarily engaged in furnishing investment information and advice to companies and individuals concerning securities and commodities on a contract or fee basis.
"Agnew, J. E. Food Services Ltd",83 Terry Fox Dr Suite A,K7M 8N4,613-544-9400,http://www.agnewfoods.com,16105597.0,"Agnew, J. E. Food Services Ltd is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry."
McCoy Tours,566 Cataraqui Woods Dr,K7P 2Y5,613-384-0347,http://www.gomccoy.com,16005562.0,"McCoy Tours is primarily engaged in furnishing travel information and acting as agents in arranging tours, transportation, rental of cars, and lodging for travelers."
1034250 Ontario Ltd,401 Bath Rd,K7M 7C9,613-634-4000,http://www.kingstonhyundai.ca,16005562.0,"1034250 Ontario Ltd is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
"Kingston, Frontenac and Lennox and Addington Public Health",221 Portsmouth Ave,K7M 1V5,613-549-1232,http://www.kflapublichealth.ca,15905526.0,"Kingston, Frontenac and Lennox and Addington Public Health is primarily engaged in planning, administration, and coordination of public health programs and services, including environmental health activities, mental health, categorical health programs (e.g., cancer control, communicable disease control, maternity, child health), health statistics, and immunization services."
Engineering Seismology Group Canada Inc,20 Hyperion Crt,K7K 7K2,613-548-8287,http://www.esgsolutions.com,15848706.0,"Engineering Seismology Group Canada Inc is primarily engaged in performing geophysical, geological, and other exploration services for oil and gas on a contract or fee basis."
Kingston & District Association For Community Living,1412 Princess St,K7M 3E5,613-546-6613,http://www.communitylivingkingston.org,15305318.0,Kingston & District Association For Community Living is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.
Sharean Drugs Ltd,445 Princess St,K7L 1C3,613-546-3696,http://www.www1.shoppersdrugmart.ca,15205282.0,"Sharean Drugs Ltd is primarily engaged in the retail sale of prescription drugs, proprietary drugs, and non-prescription medicines, and which may also carry a number of related lines, such as cosmetics, toiletries, tobacco, and novelty merchandise. These stores are included on the basis of their usual trade designation rather than on the stricter interpretation of commodities handled. This industry includes drug stores which also operate a soda fountain or lunch counter."
"Doornekamp, H. R. Construction Ltd",588 Scotland Rd,K0H 2H0,613-386-3033,,15005214.0,"Doornekamp, H. R. Construction Ltd is a general contractor primarily engaged in the construction (including new work, additions, alterations, remodeling, and repair) of nonresidential buildings, other than industrial buildings and warehouses. Included are nonresidential buildings, such as commercial, institutional, religious, and amusement and recreational buildings."
McKeown Motors Limited,805 Gardiners Rd,K7M 7E6,613-389-4426,,15005214.0,"McKeown Motors Limited is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Universal Industrial Supply Group Inc,505 O'Connor Dr,K7P 1J9,613-634-6272,,14805144.0,"Universal Industrial Supply Group Inc is primarily engaged in the wholesale distribution of motor vehicle supplies, accessories, tools, and equipment; and new motor vehicle parts."
1195149 Ontario Limited,1586 Centennial Dr,K7P 0C7,613-389-8010,,14004866.0,"1195149 Ontario Limited is a supermarket/grocery store, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry."
Professional Investments (Kingston) Inc,1180 Clyde Crt,K7P 2E4,613-384-7511,http://www.pro-invest.ca,14004866.0,"Professional Investments (Kingston) Inc is primarily engaged in the purchase, sale, and brokerage of securities; and those, generally known as investment bankers, primarily engaged in originating, underwriting, and distributing issues of securities."
Epsilon Industries Inc,751 Dalton Ave,K7M 8N6,613-544-1133,http://www.epsilonfab.com,13904831.0,"Epsilon Industries Inc is primarily engaged in manufacturing refrigeration equipment and systems and similar equipment for commercial and industrial use; complete air-conditioning units for domestic, commercial, and industrial use; and warm air furnaces. This includes manufacturing soda fountains and beer dispensing equipment and humidifiers and dehumidifiers, except portable, are also classified in this industry."
University Hospitals Kingston Foundation,55 Rideau St Suite 4,K7K 2Z8,613-549-5452,http://www.uhkf.ca,13439068.0,University Hospitals Kingston Foundation is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.
"Ford's, Scott Pharmacy Ltd",775 Strand Blvd Suite 11,K7P 2S7,613-384-7477,http://www.www1.shoppersdrugmart.ca,13304623.0,"Ford's, Scott Pharmacy Ltd is primarily engaged in the retail sale of prescription drugs, proprietary drugs, and non-prescription medicines, and which may also carry a number of related lines, such as cosmetics, toiletries, tobacco, and novelty merchandise. These stores are included on the basis of their usual trade designation rather than on the stricter interpretation of commodities handled. This industry includes drug stores which also operate a soda fountain or lunch counter."
"Intercall, Inc.",40 Hyperion Crt,K7K 7K2,613-507-2100,,13004519.0,"Intercall, Inc. is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis."
Chez Piggy Restaurant Limited,68R Princess St,K7L 1A5,613-549-7673,http://www.chezpiggy.com,12504344.0,"Chez Piggy Restaurant Limited is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products."
2445120 Ontario Inc,1412 Bath Rd,K7M 4X6,613-817-1808,,12504344.0,"2445120 Ontario Inc is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
Thousand Islands Insurance & Financial Group Limited,1996 Highway 15,K7L 4V3,613-542-4440,http://www.tidogresort.com,12504344.0,"Agents primarily representing one or more insurance carriers, or brokers not representing any particular carriers primarily engaged as independent contractors in the sale or placement of insurance contracts with carriers, but not employees of the insurance carriers they represent. This industry also includes independent organizations concerned with insurance services."
Empire Life Investments Inc,259 King St E,K7L 3A8,613-548-1881,,12204240.0,"Empire Life Investments Inc is primarily engaged in issuing shares, other than unit investment trusts and face-amount certificate companies, whose shares contain a provision requiring redemption by the company upon request of the security holder."
Robinson Solutions (Kingston) Inc,1456 Centennial Dr,K7P 0K4,613-634-7552,,12004170.0,"Robinson Solutions (Kingston) Inc is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis."
Transformix Engineering Inc,1150 Gardiners Rd,K7P 1R7,613-544-5970,http://www.transformix.com,11604032.0,"Transformix Engineering Inc is primarily engaged in manufacturing machinery, equipment, and components for general industrial use, and for which no special classification is provided."
DJD Development Corporation,235 Gore Rd Suite 1,K7L 0C3,613-542-3406,,11503997.0,"DJD Development Corporation is a supermarket/grocery store, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry."
"Young Men's Christian Association of Kingston, The",100 Wright Cres,K7L 4T9,613-546-2647,,11403962.0,"Young Men's Christian Association of Kingston, The is primarily engaged in operating reducing and other health clubs, spas, and similar facilities featuring exercise and other active physical fitness conditioning, whether or not on a membership basis. Also included in this industry are establishments providing aerobic dance and exercise classes."
Andola Fibres Ltd,740 Progress Ave,K7M 4W9,613-389-1261,http://www.andola.ca,11303927.0,"Andola Fibres Ltd is primarily engaged in the wholesale distribution of piece goods or yard goods of natural or manmade fibers, notions (sewing and hair accessories, etc.), and other dry goods. Converters who buy fabric goods (except knit goods) in the grey, have them finished on contract, and sell at wholesale are included here."
Adams Pharmacy Ltd,797 Princess St,K7L 1G1,613-544-2500,,11203893.0,"Adams Pharmacy Ltd is primarily engaged in the retail sale of prescription drugs, proprietary drugs, and non-prescription medicines, and which may also carry a number of related lines, such as cosmetics, toiletries, tobacco, and novelty merchandise. These stores are included on the basis of their usual trade designation rather than on the stricter interpretation of commodities handled. This industry includes drug stores which also operate a soda fountain or lunch counter."
Wellington Foreign Exchange Corporation,153 Wellington St,K7L 3E1,613-531-8731,http://www.wellingtonfx.com,10803754.0,"Wellington Foreign Exchange Corporation is primarily engaged in performing functions related to depository banking, not elsewhere classified."
1059810 Ontario Ltd,916 Princess St,K7L 1H1,613-546-3400,,10503650.0,"1059810 Ontario Ltd is a general contractor primarily engaged in construction (including new work, additions, alterations, remodeling, and repair) of single-family houses."
M And R Melo's Limited,1550 Princess St,K7M 9E3,613-541-4683,http://www.ambassadorhotel.com,9903440.5,"Commercial establishments, known to the public as hotels, motor hotels, motels, or tourist courts, primarily engaged in providing lodging, or lodging and meals, for the general public. Hotels which are operated by membership organizations and open to the general public are included in this industry."
Brown's Fine Food Services Inc,844 Division St,K7K 4C3,613-546-3246,http://www.browns.ca,9703371.0,Brown's Fine Food Services Inc is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.
Braebury Homes Corporation,366 King St E Suite 400,K7K 6Y3,613-546-3400,http://www.braeburyhomes.com,9603337.3,"Braebury Homes Corporation is a general contractor primarily engaged in construction (including new work, additions, alterations, remodeling, and repair) of single-family houses."
McKercher Bros. Ltd,2730 Princess St,K7P 2W6,613-384-2418,http://www.leons.ca,9203197.5,"McKercher Bros. Ltd is primarily engaged in the retail sale of household furniture. These stores may also sell home furnishings, major appliances, and floor coverings."
Kingston Kia,2820 Princess St,K7P 0K3,613-384-2005,http://www.kingstonkia.com,9003128.1,"Kingston Kia is primarily engaged in the retail sale of new automobiles or new and used automobiles. These establishments frequently maintain repair departments and carry stocks of replacement parts, tires, batteries, and automotive accessories. These establishments also frequently sell pickups and vans at retail."
"Excalibur Learning Resource Centre, Canada Corp",25 Markland St,K7K 1S2,,http://www.excalibur.ca,8502954.5,"Excalibur Learning Resource Centre, Canada Corp is primarily engaged in offering specialized vocational courses, not elsewhere classified. Also This also includes furnishing educational courses by mail. Offices maintained by such schools for the sale of correspondence courses are included."
Frulact Canada Inc,1295 Centennial Dr,K7P 0R6,613-507-7500,,8402918.8,"Frulact Canada Inc is primarily engaged in the wholesale distribution of dairy products, such as butter, cheese, ice cream and ices, and fluid milk and cream."
Planes Precast Concrete Limited,1190 Mcadoo's Lane,K7M 6R1,613-548-1864,http://www.planesprecastconcrete.com,8402918.8,"Planes Precast Concrete Limited is primarily engaged in manufacturing concrete products, except block and brick, from a combination of cement and aggregate."
"Barr, Gordon Limited",156 Duff St,K7K 2L5,613-542-4922,http://www.barrhomes.ca,8202849.4,"Barr, Gordon Limited is a special trade contractor primarily engaged in  the construction of water and sewer mains, pipelines, and communications and power lines."
"Martin, Bob Construction Co Ltd",1473 John Counter Blvd Suite 400,K7M 8Z6,613-548-7136,http://www.rpmconstruction.ca,8202849.4,"Martin, Bob Construction Co Ltd is a general contractor primarily engaged in construction (including new work, additions, alterations, remodeling, and repair) of single-family houses."
Limestone Advisory For Child Care Programs,930 Woodbine Rd,K7P 2X4,613-384-5188,http://www.limestoneadvisoryforchildcare.ca,8002780.9,"Limestone Advisory For Child Care Programs is a membership organization, not elsewhere classified."
Bayhill Development Limited,820 Development Dr,K7M 5V7,613-389-2025,,8002780.9,"Bayhill Development Limited is primarily engaged in subdividing real property into cemetery lots, and in developing it for resale on their own account."
Assante Financial Management,264 King St E,K7L 3A9,613-549-8602,http://www.assante.com,7902745.7,Assante Financial Management is primarily engaged in furnishing investment information and advice to companies and individuals concerning securities and commodities on a contract or fee basis.
Kin Lem Drugs Limited,1875 Bath Rd,K7M 4Y3,613-384-6990,http://www.www1.shoppersdrugmart.ca,7602641.1,"Kin Lem Drugs Limited is primarily engaged in the retail sale of prescription drugs, proprietary drugs, and non-prescription medicines, and which may also carry a number of related lines, such as cosmetics, toiletries, tobacco, and novelty merchandise. These stores are included on the basis of their usual trade designation rather than on the stricter interpretation of commodities handled. This industry includes drug stores which also operate a soda fountain or lunch counter."
Specialty Care East Inc,800 Edgar St Suite 114,K7M 8S4,613-547-0040,http://www.specialty-care.com,7502606.9,"Specialty Care East Inc is primarily engaged in providing inpatient nursing and rehabilitative services to patients who require continuous health care, but not hospital services. Care must be ordered by and under the direction of a physician. The staff must include a licensed nurse on duty continuously with a minimum of one full-time registered nurse on duty during each day shift. Included are establishments certified to deliver skilled nursing care under the Medicare and Medicaid programs."
Vanzuylen's Alignment Service Limited,213 Concession St,K7K 2B6,613-548-8622,http://www.vanzuylen.ca,7502606.9,"Vanzuylen's Alignment Service Limited is primarily engaged in the retail sale of new automobile tires, batteries, and other automobile parts and accessories. Such establishments frequently sell a substantial amount of home appliances, radios, and television sets."
Sensient Colors Canada Ltd,30 River St,K7K 2A1,613-546-5509,,7402572.2,"Sensient Colors Canada Ltd is primarily engaged in manufacturing cyclic organic crudes and intermediates, and organic dyes and pigments. Important products of this industry include: (1) aromatic chemicals, such as benzene, toluene, mixed xylenes naphthalene; (2) synthetic organic dyes; and (3) synthetic organic pigments."
St Lawrence Pools (1995) Limited,525 Days Rd,K7M 3R8,613-389-5510,http://www.jensenleisurefurniture.com,7402572.2,"St Lawrence Pools (1995) Limited is a special trade contractor primarily engaged in  construction work, not elsewhere classified, such as construction of swimming pools and fences, erection and installation of ornamental metal work, house moving, shoring work, waterproofing, dampproofing, fireproofing, sandblasting, and steam cleaning of building exteriors."
1011786 Ontario Inc,1351 Mcadoo's Lane Suite 1,K0H 1S0,613-547-3675,,7302537.4,"1011786 Ontario Inc is a special trade contractor primarily engaged in  concrete work, including portland cement and asphalt. This industry includes the construction of private driveways and walks of all materials."
127897 Canada Ltd,295 Dalton Ave,K7K 6Z1,613-544-4600,http://www.motosportplus.com,7202502.3,"127897 Canada Ltd is primarily engaged in the retail sale of new and used motorcycles, including motor scooters and mopeds, and all-terrain vehicles."
Harley Davidson of Kingston,295 Dalton Ave,K7K 6Z1,613-544-4600,,7202502.3,"Harley Davidson of Kingston is primarily engaged in the retail sale of new and used motorcycles, including motor scooters and mopeds, and all-terrain vehicles."
