No.,Name,Amount
290,"Cunningham Swan Carty Little & Bonham LLP, In Trust","$152,889.29"
291,Glacier Maintenance,"$152,028.64"
292,"Perley-Robertson, Hill & McDougall","$151,208.40"
293,Gore Road GP Ltd,"$151,200.00"
294,Daltco Electric Supply,"$150,214.04"
295,Parachute Software Inc,"$149,999.96"
296,Econolite Canada Inc,"$149,440.98"
297,Shoalts and Zaback Architects,"$148,439.42"
298,Softchoice Corporation,"$147,552.35"
299,Boys and Girls Club of Kingston & Area,"$147,243.42"
300,Search Warrant Online Marketing,"$146,297.98"
301,Mad Harry Productions Inc,"$145,319.46"
302,Watson & Associates Economists Ltd,"$145,276.78"
303,KTI Limited-USD only,"$144,634.75"
304,103 DALTON HOLDINGS INC,"$143,767.29"
305,Architecture 49 Inc,"$143,390.30"
306,Nedco Div of Rexel Canada Electrical Inc,"$143,351.96"
307,Ontario Energy Board,"$141,571.58"
308,JAY PATRY ENTERPRISES LLC,"$140,828.95"
309,Voith Turbo Inc,"$140,222.77"
310,Triangle Pump Service Limited,"$139,666.35"
311,Raw Design Inc,"$139,518.59"
312,High Hopes Day Care,"$138,801.66"
313,ONIT Energy Ltd,"$137,707.75"
314,Shantero Productions Inc,"$135,242.21"
315,Healthy Horizons Daycare,"$134,919.89"
316,Southeastern Telecommunication Services,"$134,146.51"
317,RW Electric 681185 Ontario Inc,"$134,131.00"
318,John Russell Law Offices,"$132,230.00"
319,Camech Industrial Inc,"$131,068.79"
320,Napanee Environmental Complex,"$129,616.60"
321,Vanzuylen Alignment Service,"$129,575.71"
322,DC Communications 2015 Inc,"$129,178.56"
323,Daytech Limited,"$129,007.90"
324,The Clean up Shop,"$127,832.90"
325,Levac Supply Ltd,"$126,673.43"
326,Sogica Inc,"$126,576.64"
327,Info-Tech Research Group Inc,"$126,448.78"
328,Global Cathodic Protection,"$124,771.20"
329,Paracel Laboratories Ltd,"$124,731.95"
330,Coral Canada Wide Ltd,"$124,579.35"
331,Kingston District United Fund,"$124,124.06"
332,Talend Canada Ltd,"$123,435.88"
333,Campbell Patterson Advertising,"$123,036.48"
334,Elite Window Cleaning,"$122,908.00"
335,FDF Group,"$121,683.40"
336,AGO Industries Inc,"$121,486.10"
337,Splinter Family Trust Rentals Co,"$121,138.27"
338,Electronic Data Collection Corporation,"$120,314.68"
339,Loving Spoonful,"$119,800.48"
340,PerfectMind Inc,"$119,299.00"
341,MH Electric,"$119,196.14"
342,MacAdam Homes,"$118,732.00"
343,RAW Factory Inc,"$118,306.76"
344,Survalent Technology,"$118,147.00"
345,Enterprise FM Canada Inc,"$117,283.70"
346,Martin's Climate Controlled Storage,"$117,069.98"
347,Kingston Symphony Association,"$116,163.40"
348,Forefront Engineering Inc,"$115,707.31"
349,Queen's University,"$113,724.83"
350,AssetWorks LLC,"$112,690.34"
351,Pitney Bowes Postage By Phone,"$112,566.36"
352,Kehoe Marine Construction Ltd.,"$111,895.58"
353,Hughes Construction and Landscaping,"$111,650.00"
354,EMCO Corporation,"$111,637.00"
355,CSL Group Ltd,"$111,583.35"
356,Town Homes Kingston,"$111,059.61"
357,All-Round Systems,"$110,741.00"
358,International Bridge Technologies Canada Inc,"$110,586.35"
359,Jenoptik,"$110,440.10"
360,Information Builders (Canada) Inc,"$110,000.00"
361,4 Office Automation Ltd,"$109,337.64"
362,Cooper Industries (Electrical) Inc,"$109,105.16"
363,Hydro One Telecom Inc-Acronym Solutions Inc,"$108,198.10"
364,Canadian Corps of Commissionaires,"$107,796.60"
365,Noramco Wire & Cable,"$107,746.02"
366,Hughson Barriers Inc,"$106,826.90"
367,"TYR Tactical Canada, ULC","$106,254.81"
368,La Capital Financial Services,"$105,909.45"
369,Sensus Canada Inc,"$105,373.09"
370,Riggs Engineering Ltd,"$105,270.00"
371,Michael  Gabryel,"$104,611.00"
372,Wee Watch Enriched Home Child Care,"$104,405.64"
373,Fort Glass Inc,"$103,819.30"
374,Calderwood Automation Inc,"$103,804.00"
375,DCR Strategies Inc,"$102,300.00"
376,"Kingston Regional Hospital Laundry, Inc","$102,262.00"
377,Fisher Auto Parts & Equipment Ltd,"$102,255.45"
378,Live is All You Need Inc,"$101,510.00"
379,Surgenor Truck Group,"$101,460.21"
380,Seniors Association Kingston Region,"$100,800.00"
381,Mayor of Kingstown Ltd,"$100,000.00"
382,Best Value Motel Inc.,"$99,934.59"
383,Revay and Associates Limited,"$99,460.00"
384,Les Productions Juste Pour Rire II Inc,"$99,259.42"
385,Monteith Brown Planning Consultants,"$98,942.62"
386,Lifemark Health Corp-Active Health,"$98,929.92"
387,Electrical Safety Authority,"$98,868.00"
388,FRONTENAC SHOPPING CENTRE INC,"$98,267.39"
389,Tipi Moza (Lower Union),"$98,202.35"
390,Paquette Productions Ltd,"$97,999.85"
391,MSC Industrial Supply ULC,"$97,940.78"
392,Past Recovery Archaeological Services,"$97,334.33"
393,Extendicare Assist,"$96,975.00"
394,Onix Networking Canada Inc,"$96,648.60"
395,Apple Canada Inc,"$95,799.00"
396,T. Hamilton & Son Roofing Inc,"$95,292.99"
397,BDI a division of Bell Mobility Inc,"$94,560.02"
398,Axiell ALM Canada Inc,"$94,149.91"
399,KB Homes Ltd,"$93,940.00"
400,Jet Signs,"$93,094.88"
401,Twenty31 Consulting Inc,"$92,398.00"
402,Sel Warwick Salt Inc,"$91,895.00"
403,Rampart International Corp,"$91,756.87"
404,Overdrive Inc,"$91,731.49"
405,Darktrace Holdings Limited,"$91,680.00"
406,TOYS R US (CANADA) LTD,"$90,705.83"
407,Procon Constructors Inc,"$90,392.63"
408,SNC Lavalin Inc,"$88,904.38"
409,Thinc Design,"$88,662.27"
410,Petro Canada Lubricants,"$87,017.80"
411,Greenshield Pest Control Inc,"$86,814.02"
412,La Maison Montessori Kingston,"$86,720.56"
413,Sustema Inc,"$86,553.25"
414,Battlefield Equipment Rentals,"$86,297.63"
415,Transit Cooling Solutions,"$85,235.93"
416,Gilmore Printing Services Inc,"$84,937.88"
417,ION Facility Services Inc,"$84,513.78"
418,HMC Consulting Services Inc,"$84,406.80"
419,Elster Solutions Canada Inc,"$83,715.40"
420,Sodrox Chemicals Ltd,"$83,698.29"
421,GIRO Inc,"$83,618.00"
422,CGI Information Systems & Management,"$83,499.96"
423,USP Technologies Canada ULC,"$83,247.64"
424,Accerta Claim ServiCorp Inc,"$83,093.71"
425,Chartis Insurance Company of Canada,"$83,060.69"
426,Cornerstone Builders Ltd,"$82,978.01"
427,Pinchin Ltd,"$82,977.20"
428,1809512 Ontario Inc,"$82,403.70"
429,Creekside Valley Developments Ltd,"$81,844.00"
430,Darch Fire Incorporated,"$81,570.00"
431,CARACO PROPERTY MANAGEMENT LTD,"$81,118.54"
432,Payment in Motion Inc,"$81,088.00"
433,FCAPX-A Division of Roth IAMS,"$80,623.62"
434,Branch Audio Visual-12060477 Canada Inc,"$80,202.72"
435,IPL North America Inc,"$80,015.05"
436,Jubb Utility Supply Limited,"$79,524.11"
437,Meehan's Industrial Maintenance Ltd,"$79,380.00"
438,Johnson Controls Canada LP,"$79,279.23"
439,686059 Ontario Ltd o/a Comfort Inn Hwy 401,"$78,976.27"
440,Nova Products,"$78,741.00"
441,SBA Canada,"$78,732.24"
442,Martin & Levesque Inc,"$78,598.87"
443,Alliance Security Team,"$78,528.89"
444,Canada Post Corporation,"$78,467.64"
445,Browns Fine Food Services (Tulips and Maple Catering),"$77,862.38"
446,Corrosion Service Company Limited,"$77,549.49"
447,Sousa Ready Mix,"$77,390.42"
448,TD Wealth Financial Planning,"$76,751.50"
449,N Harris Computer Corporation,"$76,627.50"
450,Alliance Wireless,"$76,602.00"
451,YMCA of Eastern Ontario,"$76,573.59"
452,BT Engineering,"$76,394.45"
453,GovernmentFrameworks.com Inc,"$75,999.05"
454,CR Wall & Co Inc,"$75,919.74"
455,Machinex Recycling Services Inc,"$75,633.23"
456,Noble Corporation,"$75,568.57"
457,Kingston Theatre Alliance,"$75,550.00"
458,Manpower,"$75,449.01"
459,IG Wealth Management,"$75,144.38"
460,Elizabeth Fry Society,"$74,820.00"
461,Minaker's Flower Centre,"$74,784.98"
462,Michelin North America Canada Inc,"$74,640.17"
463,McDougall UCC Insurance Brokers,"$74,379.20"
464,Pat's Radiator Service Limited,"$74,367.66"
465,Metrobit Inc,"$73,956.61"
466,The Diamond Mine Agency,"$73,880.29"
467,G Tackaberry & Sons,"$73,823.53"
468,Magnus 1946 Chemicals Ltd,"$73,502.49"
469,Liferay Inc,"$73,356.60"
470,Trackmatics Inc,"$72,994.48"
471,Torlowna Investments Ltd.,"$72,808.93"
472,Zion United Church Foundation Inc,"$72,399.72"
473,CBM NA Inc,"$72,347.80"
474,KINGSTOWN INVESTMENTS INC,"$72,028.06"
475,Valley Blades Limited,"$72,003.59"
476,"Director, Family Responsibility Office","$71,428.46"
477,MODERN NIAGARA TORONTO INC,"$71,376.79"
478,Roof & Building Service Intl,"$71,332.17"
479,Armstrong Monitoring Corp,"$70,811.50"
480,ICONIX Waterworks LP,"$70,578.56"
481,DM Wills Associates,"$70,508.43"
482,Derek Rowcliffe,"$70,077.50"
483,Diane Aube Lazenby,"$69,669.13"
484,Bridgestone Canada Inc,"$69,445.24"
485,Gold & Fife,"$68,975.00"
486,MITCHELL BRUCE,"$68,947.36"
487,KPMG Law LLP,"$68,874.32"
488,Brown Hospitality Corporation,"$68,698.57"
489,"Xylem Canada, LP","$68,526.94"
490,Rogers Media Inc,"$68,388.74"
491,Newton Electric Company Ltd,"$68,213.59"
492,Stinson ITS Inc,"$68,094.00"
493,Grayshift LLC,"$68,055.85"
494,Superior Propane Inc,"$67,614.22"
495,Eastern Ontario Terrazzo & Tile Co Ltd,"$67,608.00"
496,Ed Malette Electric Ltd,"$67,541.24"
497,Limestone Investments,"$67,232.52"
498,Cintas Canada Limited,"$67,099.95"
499,SEL Schweitzer Laboratories Inc,"$67,075.39"
500,Dutch Heritage Villa,"$67,012.86"
